Event ID,Date,Year,Month,Week,Plant,Production Line,Machine ID,Machine Type,Shift,Operator ID,Technician,Downtime Category,Downtime Reason,Planned or Unplanned,Root Cause,Downtime Minutes,Downtime Hours,Repair Cost EURO,Cost per Minute,Production Units Lost,Product Type,Status,Resolution Time,Maintenance Type
DT-00649,2023-04-11,2023,April,15,Plant Munich,Line M4,MC-0028,Stamping Press,Morning (06-14),OP-0117,Tech-003,Quality Issue,Out of Spec Product,Unplanned,Wear and Tear,91,1.52,576.94,6.34,96,Automotive Parts,Resolved,3.34,Corrective
DT-00650,2023-04-11,2023,April,15,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Afternoon (14-22),OP-0119,Tech-005,Electrical Failure,Wiring Fault,Unplanned,Process Variation,20,0.33,272.4,13.62,5,Electronic Housings,Resolved,1.35,Corrective
DT-00651,2023-04-12,2023,April,15,Plant Munich,Line M4,MC-0028,Stamping Press,Morning (06-14),OP-0065,Tech-013,Mechanical Failure,Belt Breakage,Unplanned,Environmental Conditions,41,0.68,93.48,2.28,55,Plastic Components,Resolved,0.51,Predictive
DT-00652,2023-04-12,2023,April,15,Plant Munich,Line M2,MC-0019,Palletizer,Morning (06-14),OP-0096,Tech-006,Changeover,Product Changeover,Planned,Poor Spare Parts Availability,27,0.45,146.07,5.41,42,Plastic Components,Resolved,2.34,Corrective
DT-00653,2023-04-12,2023,April,15,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Morning (06-14),OP-0091,Tech-015,Mechanical Failure,Motor Failure,Unplanned,Supplier Quality Issue,21,0.35,127.68,6.08,38,Plastic Components,Resolved,0.94,Corrective
DT-00654,2023-04-12,2023,April,15,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Morning (06-14),OP-0029,Tech-018,Electrical Failure,PLC Error,Unplanned,Inadequate Training,72,1.2,743.76,10.33,109,Electronic Housings,In Progress,,Corrective
DT-00655,2023-04-12,2023,April,15,Plant Munich,Line M4,MC-0028,Stamping Press,Night (22-06),OP-0052,Tech-015,Software/Control Issue,Network Communication Loss,Planned,Unknown,33,0.55,276.54,8.38,62,Plastic Components,Resolved,1.17,Predictive
DT-00656,2023-04-12,2023,April,15,Plant Munich,Line M4,MC-0028,Stamping Press,Afternoon (14-22),OP-0039,Tech-022,Preventive Maintenance,Routine Calibration,Planned,Supplier Quality Issue,83,1.38,712.14,8.58,165,Plastic Components,Resolved,3.75,Preventive
DT-00657,2023-04-12,2023,April,15,Plant Katowice,Line K1,MC-0031,Robotic Welder,Afternoon (14-22),OP-0095,Tech-018,Material Shortage,Raw Material Delay,Unplanned,Poor Spare Parts Availability,81,1.35,925.02,11.42,129,Electronic Housings,Resolved,2.52,Corrective
DT-00658,2023-04-12,2023,April,15,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Morning (06-14),OP-0077,Tech-016,Software/Control Issue,Network Communication Loss,Unplanned,Supplier Quality Issue,28,0.47,201.6,7.2,31,Automotive Parts,Resolved,0.2,Corrective
DT-00659,2023-04-12,2023,April,15,Plant Katowice,Line K2,MC-0034,Industrial Oven,Morning (06-14),OP-0016,Tech-014,Quality Issue,Out of Spec Product,Unplanned,Lack of Preventive Maintenance,63,1.05,212.31,3.37,118,Plastic Components,Resolved,2.73,Predictive
DT-00660,2023-04-12,2023,April,15,Plant Munich,Line M2,MC-0018,Hydraulic Press,Night (22-06),OP-0064,Tech-002,Preventive Maintenance,Routine Calibration,Planned,Human Error,50,0.83,244.5,4.89,49,Packaging Units,Resolved,0.83,Preventive
DT-00661,2023-04-12,2023,April,15,Plant Katowice,Line K1,MC-0030,Stamping Press,Night (22-06),OP-0078,Tech-006,Changeover,Product Changeover,Planned,Lack of Preventive Maintenance,38,0.63,311.6,8.2,81,Machine Tools,Resolved,1.18,Corrective
DT-00662,2023-04-12,2023,April,15,Plant Rotterdam,Line R1,MC-0001,Industrial Oven,Night (22-06),OP-0094,Tech-021,Mechanical Failure,Belt Breakage,Unplanned,Aging Equipment,25,0.42,96.0,3.84,25,Plastic Components,Resolved,0.2,Corrective
DT-00663,2023-04-12,2023,April,15,Plant Munich,Line M1,MC-0014,Hydraulic Press,Afternoon (14-22),OP-0046,Tech-015,Mechanical Failure,Belt Breakage,Unplanned,Environmental Conditions,52,0.87,422.76,8.13,70,Machine Tools,In Progress,,Corrective
DT-00664,2023-04-12,2023,April,15,Plant Munich,Line M3,MC-0022,Stamping Press,Afternoon (14-22),OP-0073,Tech-010,Mechanical Failure,Bearing Failure,Unplanned,Inadequate Training,52,0.87,653.12,12.56,86,Packaging Units,Resolved,2.67,Predictive
DT-00665,2023-04-12,2023,April,15,Plant Lyon,Line L3,MC-0045,Packaging Machine,Morning (06-14),OP-0115,Tech-003,Electrical Failure,Wiring Fault,Planned,Inadequate Training,61,1.02,295.85,4.85,99,Plastic Components,Resolved,1.98,Corrective
DT-00666,2023-04-13,2023,April,15,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Morning (06-14),OP-0112,Tech-002,Electrical Failure,Sensor Malfunction,Unplanned,Supplier Quality Issue,23,0.38,255.3,11.1,48,Packaging Units,Resolved,2.36,Corrective
DT-00667,2023-04-13,2023,April,15,Plant Katowice,Line K1,MC-0031,Robotic Welder,Morning (06-14),OP-0035,Tech-003,Software/Control Issue,HMI Freeze,Unplanned,Aging Equipment,25,0.42,378.0,15.12,17,Metal Fittings,Resolved,0.2,Predictive
DT-00668,2023-04-13,2023,April,15,Plant Munich,Line M2,MC-0018,Hydraulic Press,Afternoon (14-22),OP-0012,Tech-014,Mechanical Failure,Hydraulic Leak,Unplanned,Human Error,11,0.18,105.05,9.55,20,Automotive Parts,In Progress,,Corrective
DT-00669,2023-04-13,2023,April,15,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Morning (06-14),OP-0107,Tech-007,Operator Error,Incorrect Setup,Unplanned,Inadequate Training,15,0.25,188.25,12.55,38,Plastic Components,Resolved,0.2,Predictive
DT-00670,2023-04-13,2023,April,15,Plant Munich,Line M4,MC-0026,CNC Machine,Morning (06-14),OP-0018,Tech-005,Software/Control Issue,Software Crash,Unplanned,Design Flaw,60,1.0,454.2,7.57,82,Electronic Housings,Resolved,2.91,Corrective
DT-00671,2023-04-13,2023,April,15,Plant Munich,Line M3,MC-0020,Assembly Robot,Morning (06-14),OP-0116,Tech-023,Mechanical Failure,Motor Failure,Unplanned,Lack of Preventive Maintenance,93,1.55,883.5,9.5,127,Machine Tools,Resolved,1.84,Corrective
DT-00672,2023-04-13,2023,April,15,Plant Lyon,Line L1,MC-0037,Injection Molding Machine,Night (22-06),OP-0116,Tech-024,Material Shortage,Raw Material Delay,Unplanned,Human Error,237,3.95,3066.78,12.94,357,Metal Fittings,In Progress,,Corrective
DT-00673,2023-04-14,2023,April,15,Plant Lyon,Line L2,MC-0043,Injection Molding Machine,Morning (06-14),OP-0117,Tech-023,Changeover,Product Changeover,Planned,Lack of Preventive Maintenance,20,0.33,255.2,12.76,40,Machine Tools,Resolved,2.7,Corrective
DT-00674,2023-04-14,2023,April,15,Plant Munich,Line M3,MC-0022,Stamping Press,Afternoon (14-22),OP-0050,Tech-023,Electrical Failure,PLC Error,Unplanned,Human Error,26,0.43,212.16,8.16,32,Plastic Components,Resolved,0.2,Corrective
DT-00675,2023-04-14,2023,April,15,Plant Rotterdam,Line R3,MC-0009,Palletizer,Morning (06-14),OP-0112,Tech-023,Changeover,Tooling Change,Planned,Inadequate Training,36,0.6,88.92,2.47,70,Automotive Parts,Resolved,1.14,Corrective
DT-00676,2023-04-14,2023,April,15,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Morning (06-14),OP-0063,Tech-005,Preventive Maintenance,Lubrication Service,Planned,Environmental Conditions,34,0.57,557.94,16.41,30,Electronic Housings,Resolved,2.05,Preventive
DT-00677,2023-04-14,2023,April,15,Plant Katowice,Line K2,MC-0033,Industrial Oven,Afternoon (14-22),OP-0107,Tech-012,Mechanical Failure,Bearing Failure,Unplanned,Lack of Preventive Maintenance,39,0.65,193.05,4.95,55,Metal Fittings,Resolved,2.19,Corrective
DT-00678,2023-04-15,2023,April,15,Plant Munich,Line M2,MC-0019,Palletizer,Morning (06-14),OP-0044,Tech-024,Software/Control Issue,Software Crash,Unplanned,Environmental Conditions,41,0.68,200.08,4.88,37,Metal Fittings,Resolved,2.48,Corrective
DT-00679,2023-04-15,2023,April,15,Plant Munich,Line M4,MC-0028,Stamping Press,Afternoon (14-22),OP-0095,Tech-011,Software/Control Issue,Network Communication Loss,Unplanned,Lack of Preventive Maintenance,39,0.65,469.56,12.04,65,Plastic Components,Pending,,Corrective
DT-00680,2023-04-15,2023,April,15,Plant Munich,Line M1,MC-0013,Packaging Machine,Afternoon (14-22),OP-0080,Tech-025,Quality Issue,Out of Spec Product,Unplanned,Process Variation,50,0.83,326.0,6.52,60,Automotive Parts,Resolved,2.45,Corrective
DT-00681,2023-04-15,2023,April,15,Plant Katowice,Line K1,MC-0031,Robotic Welder,Afternoon (14-22),OP-0070,Tech-010,Electrical Failure,PLC Error,Unplanned,Human Error,26,0.43,335.4,12.9,32,Automotive Parts,Resolved,0.7,Predictive
DT-00682,2023-04-15,2023,April,15,Plant Munich,Line M1,MC-0012,Industrial Oven,Night (22-06),OP-0088,Tech-010,Electrical Failure,Short Circuit,Unplanned,Inadequate Training,35,0.58,332.15,9.49,25,Electronic Housings,In Progress,,Corrective
DT-00683,2023-04-16,2023,April,15,Plant Munich,Line M4,MC-0027,Packaging Machine,Morning (06-14),OP-0111,Tech-005,Software/Control Issue,Software Crash,Unplanned,Wear and Tear,74,1.23,450.66,6.09,131,Metal Fittings,Resolved,2.73,Corrective
DT-00684,2023-04-16,2023,April,15,Plant Lyon,Line L1,MC-0036,Palletizer,Morning (06-14),OP-0119,Tech-017,Changeover,Mold Change,Planned,Aging Equipment,24,0.4,91.44,3.81,44,Electronic Housings,Resolved,0.3,Corrective
DT-00685,2023-04-17,2023,April,16,Plant Munich,Line M4,MC-0027,Packaging Machine,Night (22-06),OP-0034,Tech-023,Mechanical Failure,Bearing Failure,Planned,Wear and Tear,13,0.22,57.2,4.4,17,Electronic Housings,Resolved,1.18,Corrective
DT-00686,2023-04-17,2023,April,16,Plant Munich,Line M4,MC-0025,Robotic Welder,Morning (06-14),OP-0085,Tech-003,Quality Issue,Out of Spec Product,Unplanned,Environmental Conditions,19,0.32,358.91,18.89,18,Plastic Components,Resolved,1.34,Corrective
DT-00687,2023-04-17,2023,April,16,Plant Munich,Line M4,MC-0025,Robotic Welder,Morning (06-14),OP-0088,Tech-019,Preventive Maintenance,Routine Calibration,Planned,Poor Spare Parts Availability,29,0.48,337.56,11.64,46,Packaging Units,Resolved,1.28,Preventive
DT-00688,2023-04-17,2023,April,16,Plant Munich,Line M4,MC-0026,CNC Machine,Night (22-06),OP-0116,Tech-007,Mechanical Failure,Bearing Failure,Unplanned,Unknown,32,0.53,384.64,12.02,67,Electronic Housings,In Progress,,Corrective
DT-00689,2023-04-17,2023,April,16,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Night (22-06),OP-0074,Tech-022,Electrical Failure,Short Circuit,Unplanned,Process Variation,37,0.62,513.19,13.87,22,Metal Fittings,Resolved,2.81,Corrective
DT-00690,2023-04-17,2023,April,16,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Morning (06-14),OP-0094,Tech-007,Quality Issue,Calibration Drift,Unplanned,Lack of Preventive Maintenance,50,0.83,161.0,3.22,62,Automotive Parts,Resolved,2.09,Corrective
DT-00691,2023-04-18,2023,April,16,Plant Lyon,Line L3,MC-0044,CNC Machine,Afternoon (14-22),OP-0050,Tech-013,Operator Error,Incorrect Setup,Unplanned,Lack of Preventive Maintenance,14,0.23,152.74,10.91,16,Machine Tools,Resolved,0.2,Corrective
DT-00692,2023-04-18,2023,April,16,Plant Munich,Line M1,MC-0012,Industrial Oven,Morning (06-14),OP-0035,Tech-020,Operator Error,Incorrect Setup,Unplanned,Poor Spare Parts Availability,35,0.58,233.8,6.68,46,Packaging Units,Resolved,0.85,Corrective
DT-00693,2023-04-18,2023,April,16,Plant Rotterdam,Line R3,MC-0009,Palletizer,Afternoon (14-22),OP-0098,Tech-011,Material Shortage,Component Stockout,Unplanned,Inadequate Training,174,2.9,443.7,2.55,174,Automotive Parts,Resolved,6.04,Corrective
DT-00694,2023-04-18,2023,April,16,Plant Munich,Line M3,MC-0021,Injection Molding Machine,Morning (06-14),OP-0008,Tech-023,Operator Error,Manual Handling Error,Unplanned,Inadequate Training,23,0.38,171.12,7.44,26,Machine Tools,Resolved,0.2,Corrective
DT-00695,2023-04-18,2023,April,16,Plant Lyon,Line L2,MC-0041,Hydraulic Press,Afternoon (14-22),OP-0073,Tech-016,Mechanical Failure,Belt Breakage,Unplanned,Process Variation,40,0.67,232.8,5.82,79,Metal Fittings,In Progress,,Corrective
DT-00696,2023-04-18,2023,April,16,Plant Munich,Line M1,MC-0011,Industrial Oven,Night (22-06),OP-0092,Tech-019,Software/Control Issue,Firmware Update Error,Unplanned,Lack of Preventive Maintenance,32,0.53,379.2,11.85,39,Packaging Units,Resolved,2.29,Corrective
DT-00697,2023-04-18,2023,April,16,Plant Lyon,Line L3,MC-0047,Industrial Oven,Afternoon (14-22),OP-0016,Tech-023,Quality Issue,Out of Spec Product,Unplanned,Inadequate Training,165,2.75,636.9,3.86,439,Metal Fittings,Resolved,4.03,Corrective
DT-00698,2023-04-18,2023,April,16,Plant Munich,Line M2,MC-0019,Palletizer,Afternoon (14-22),OP-0010,Tech-007,Preventive Maintenance,Scheduled Inspection,Planned,Wear and Tear,71,1.18,376.3,5.3,121,Machine Tools,Resolved,1.67,Preventive
DT-00699,2023-04-19,2023,April,16,Plant Katowice,Line K2,MC-0035,Conveyor System,Morning (06-14),OP-0068,Tech-025,Mechanical Failure,Hydraulic Leak,Unplanned,Environmental Conditions,42,0.7,159.18,3.79,94,Electronic Housings,In Progress,,Predictive
DT-00700,2023-04-19,2023,April,16,Plant Katowice,Line K1,MC-0030,Stamping Press,Morning (06-14),OP-0008,Tech-009,Material Shortage,Component Stockout,Unplanned,Wear and Tear,174,2.9,1458.12,8.38,264,Packaging Units,Resolved,3.9,Corrective
DT-00701,2023-04-19,2023,April,16,Plant Munich,Line M4,MC-0027,Packaging Machine,Morning (06-14),OP-0095,Tech-013,Material Shortage,Supplier Delay,Unplanned,Human Error,148,2.47,596.44,4.03,172,Plastic Components,Pending,,Corrective
DT-00702,2023-04-19,2023,April,16,Plant Munich,Line M4,MC-0028,Stamping Press,Afternoon (14-22),OP-0047,Tech-007,Changeover,Product Changeover,Planned,Human Error,42,0.7,157.92,3.76,39,Metal Fittings,Resolved,0.2,Corrective
DT-00703,2023-04-19,2023,April,16,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Afternoon (14-22),OP-0074,Tech-010,Quality Issue,Calibration Drift,Unplanned,Process Variation,82,1.37,383.76,4.68,143,Metal Fittings,Resolved,2.36,Corrective
DT-00704,2023-04-19,2023,April,16,Plant Rotterdam,Line R3,MC-0008,Packaging Machine,Night (22-06),OP-0104,Tech-005,Material Shortage,Supplier Delay,Unplanned,Design Flaw,43,0.72,214.14,4.98,36,Machine Tools,Resolved,1.16,Corrective
DT-00705,2023-04-20,2023,April,16,Plant Lyon,Line L2,MC-0039,Industrial Oven,Night (22-06),OP-0055,Tech-023,Mechanical Failure,Gear Wear,Unplanned,Design Flaw,72,1.2,591.84,8.22,49,Metal Fittings,Resolved,1.43,Corrective
DT-00706,2023-04-20,2023,April,16,Plant Lyon,Line L2,MC-0042,Conveyor System,Afternoon (14-22),OP-0067,Tech-025,Quality Issue,Calibration Drift,Unplanned,Human Error,67,1.12,225.12,3.36,91,Packaging Units,Resolved,2.18,Predictive
DT-00707,2023-04-20,2023,April,16,Plant Lyon,Line L1,MC-0038,Stamping Press,Night (22-06),OP-0078,Tech-025,Mechanical Failure,Bearing Failure,Unplanned,Supplier Quality Issue,25,0.42,172.75,6.91,49,Packaging Units,Resolved,0.2,Corrective
DT-00708,2023-04-20,2023,April,16,Plant Lyon,Line L2,MC-0042,Conveyor System,Afternoon (14-22),OP-0050,Tech-002,Electrical Failure,Short Circuit,Unplanned,Supplier Quality Issue,31,0.52,149.73,4.83,19,Machine Tools,Resolved,1.67,Corrective
DT-00709,2023-04-20,2023,April,16,Plant Lyon,Line L2,MC-0039,Industrial Oven,Afternoon (14-22),OP-0064,Tech-013,Electrical Failure,Short Circuit,Unplanned,Environmental Conditions,101,1.68,419.15,4.15,90,Plastic Components,Resolved,2.23,Predictive
DT-00710,2023-04-20,2023,April,16,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Afternoon (14-22),OP-0063,Tech-017,Mechanical Failure,Belt Breakage,Unplanned,Wear and Tear,53,0.88,672.04,12.68,24,Metal Fittings,Resolved,2.96,Predictive
DT-00711,2023-04-21,2023,April,16,Plant Lyon,Line L3,MC-0047,Industrial Oven,Afternoon (14-22),OP-0096,Tech-017,Changeover,Product Changeover,Planned,Inadequate Training,43,0.72,253.27,5.89,59,Automotive Parts,Resolved,0.2,Corrective
DT-00712,2023-04-21,2023,April,16,Plant Lyon,Line L3,MC-0046,Hydraulic Press,Afternoon (14-22),OP-0054,Tech-006,Mechanical Failure,Bearing Failure,Unplanned,Design Flaw,69,1.15,459.54,6.66,116,Metal Fittings,Pending,,Corrective
DT-00713,2023-04-21,2023,April,16,Plant Munich,Line M1,MC-0011,Industrial Oven,Afternoon (14-22),OP-0076,Tech-010,Changeover,Mold Change,Planned,Environmental Conditions,46,0.77,331.66,7.21,36,Automotive Parts,Resolved,2.54,Corrective
DT-00714,2023-04-21,2023,April,16,Plant Lyon,Line L3,MC-0046,Hydraulic Press,Night (22-06),OP-0097,Tech-003,Mechanical Failure,Belt Breakage,Unplanned,Process Variation,25,0.42,191.0,7.64,41,Metal Fittings,Resolved,0.9,Predictive
DT-00715,2023-04-21,2023,April,16,Plant Rotterdam,Line R2,MC-0007,Robotic Welder,Night (22-06),OP-0023,Tech-015,Material Shortage,Raw Material Delay,Unplanned,Poor Spare Parts Availability,134,2.23,802.66,5.99,230,Plastic Components,Resolved,3.16,Predictive
DT-00716,2023-04-21,2023,April,16,Plant Rotterdam,Line R3,MC-0010,Industrial Oven,Morning (06-14),OP-0006,Tech-006,Mechanical Failure,Gear Wear,Unplanned,Wear and Tear,122,2.03,946.72,7.76,114,Plastic Components,Resolved,3.99,Corrective
DT-00717,2023-04-21,2023,April,16,Plant Lyon,Line L3,MC-0047,Industrial Oven,Morning (06-14),OP-0025,Tech-004,Mechanical Failure,Hydraulic Leak,Unplanned,Environmental Conditions,27,0.45,200.07,7.41,46,Automotive Parts,Resolved,1.14,Predictive
DT-00718,2023-04-22,2023,April,16,Plant Munich,Line M2,MC-0017,Conveyor System,Afternoon (14-22),OP-0087,Tech-018,Mechanical Failure,Belt Breakage,Unplanned,Inadequate Training,117,1.95,539.37,4.61,242,Electronic Housings,Resolved,2.13,Corrective
DT-00719,2023-04-22,2023,April,16,Plant Munich,Line M3,MC-0024,Injection Molding Machine,Night (22-06),OP-0094,Tech-012,Preventive Maintenance,Lubrication Service,Planned,Process Variation,57,0.95,661.2,11.6,105,Electronic Housings,Resolved,2.36,Preventive
DT-00720,2023-04-22,2023,April,16,Plant Katowice,Line K1,MC-0030,Stamping Press,Morning (06-14),OP-0027,Tech-006,Software/Control Issue,HMI Freeze,Unplanned,Process Variation,57,0.95,587.1,10.3,111,Metal Fittings,Resolved,2.37,Corrective
DT-00721,2023-04-23,2023,April,16,Plant Lyon,Line L2,MC-0042,Conveyor System,Afternoon (14-22),OP-0081,Tech-005,Mechanical Failure,Gear Wear,Unplanned,Inadequate Training,31,0.52,112.84,3.64,44,Electronic Housings,Resolved,0.87,Corrective
DT-00722,2023-04-23,2023,April,16,Plant Rotterdam,Line R2,MC-0005,CNC Machine,Morning (06-14),OP-0040,Tech-002,Electrical Failure,Power Supply Failure,Unplanned,Unknown,12,0.2,141.12,11.76,16,Electronic Housings,Resolved,1.63,Corrective
DT-00723,2023-04-23,2023,April,16,Plant Lyon,Line L2,MC-0042,Conveyor System,Morning (06-14),OP-0036,Tech-023,Software/Control Issue,Software Crash,Unplanned,Process Variation,61,1.02,228.14,3.74,59,Electronic Housings,Resolved,1.39,Corrective
DT-00724,2023-04-23,2023,April,16,Plant Munich,Line M3,MC-0022,Stamping Press,Afternoon (14-22),OP-0107,Tech-020,Mechanical Failure,Belt Breakage,Unplanned,Unknown,52,0.87,529.88,10.19,97,Electronic Housings,Resolved,3.2,Corrective
DT-00725,2023-04-23,2023,April,16,Plant Munich,Line M2,MC-0019,Palletizer,Night (22-06),OP-0075,Tech-011,Quality Issue,Calibration Drift,Unplanned,Lack of Preventive Maintenance,31,0.52,159.34,5.14,37,Packaging Units,Resolved,2.0,Predictive
DT-00726,2023-04-24,2023,April,17,Plant Lyon,Line L1,MC-0037,Injection Molding Machine,Afternoon (14-22),OP-0092,Tech-004,Operator Error,Incorrect Setup,Unplanned,Supplier Quality Issue,18,0.3,183.6,10.2,24,Electronic Housings,Resolved,0.95,Corrective
DT-00727,2023-04-24,2023,April,17,Plant Lyon,Line L1,MC-0037,Injection Molding Machine,Afternoon (14-22),OP-0002,Tech-003,Operator Error,Manual Handling Error,Unplanned,Environmental Conditions,51,0.85,402.39,7.89,38,Packaging Units,Resolved,1.21,Corrective
DT-00728,2023-04-24,2023,April,17,Plant Rotterdam,Line R2,MC-0006,Assembly Robot,Night (22-06),OP-0036,Tech-009,Software/Control Issue,Network Communication Loss,Unplanned,Process Variation,34,0.57,211.14,6.21,58,Plastic Components,Resolved,1.06,Predictive
DT-00729,2023-04-24,2023,April,17,Plant Rotterdam,Line R1,MC-0002,Assembly Robot,Morning (06-14),OP-0075,Tech-020,Changeover,Product Changeover,Planned,Supplier Quality Issue,49,0.82,758.03,15.47,43,Electronic Housings,Resolved,2.56,Predictive
DT-00730,2023-04-24,2023,April,17,Plant Munich,Line M3,MC-0022,Stamping Press,Morning (06-14),OP-0037,Tech-012,Electrical Failure,Short Circuit,Unplanned,Design Flaw,20,0.33,97.6,4.88,23,Machine Tools,Resolved,2.78,Predictive
DT-00731,2023-04-25,2023,April,17,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0071,Tech-013,Electrical Failure,Wiring Fault,Unplanned,Inadequate Training,51,0.85,424.32,8.32,42,Plastic Components,Resolved,1.75,Predictive
DT-00732,2023-04-25,2023,April,17,Plant Lyon,Line L1,MC-0038,Stamping Press,Morning (06-14),OP-0043,Tech-015,Software/Control Issue,Network Communication Loss,Unplanned,Environmental Conditions,86,1.43,650.16,7.56,102,Automotive Parts,Resolved,2.69,Corrective
DT-00733,2023-04-25,2023,April,17,Plant Munich,Line M2,MC-0018,Hydraulic Press,Morning (06-14),OP-0012,Tech-015,Changeover,Product Changeover,Planned,Lack of Preventive Maintenance,54,0.9,528.12,9.78,87,Automotive Parts,Resolved,3.32,Corrective
DT-00734,2023-04-25,2023,April,17,Plant Rotterdam,Line R2,MC-0005,CNC Machine,Morning (06-14),OP-0068,Tech-004,Electrical Failure,Power Supply Failure,Unplanned,Supplier Quality Issue,68,1.13,599.08,8.81,146,Machine Tools,Resolved,1.87,Corrective
DT-00735,2023-04-25,2023,April,17,Plant Lyon,Line L3,MC-0044,CNC Machine,Afternoon (14-22),OP-0053,Tech-014,Changeover,Mold Change,Planned,Unknown,26,0.43,292.5,11.25,35,Electronic Housings,Resolved,1.93,Predictive
DT-00736,2023-04-25,2023,April,17,Plant Munich,Line M1,MC-0012,Industrial Oven,Afternoon (14-22),OP-0065,Tech-019,Mechanical Failure,Belt Breakage,Unplanned,Aging Equipment,23,0.38,139.61,6.07,26,Metal Fittings,Resolved,0.2,Corrective
DT-00737,2023-04-25,2023,April,17,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0067,Tech-024,Mechanical Failure,Hydraulic Leak,Unplanned,Human Error,59,0.98,263.14,4.46,94,Plastic Components,Pending,,Predictive
DT-00738,2023-04-26,2023,April,17,Plant Munich,Line M4,MC-0025,Robotic Welder,Night (22-06),OP-0090,Tech-008,Software/Control Issue,Network Communication Loss,Unplanned,Wear and Tear,30,0.5,264.3,8.81,46,Machine Tools,Resolved,0.51,Corrective
DT-00739,2023-04-26,2023,April,17,Plant Munich,Line M3,MC-0024,Injection Molding Machine,Afternoon (14-22),OP-0030,Tech-002,Preventive Maintenance,Routine Calibration,Planned,Process Variation,50,0.83,490.0,9.8,91,Plastic Components,Resolved,1.41,Preventive
DT-00740,2023-04-26,2023,April,17,Plant Munich,Line M1,MC-0012,Industrial Oven,Morning (06-14),OP-0057,Tech-004,Material Shortage,Raw Material Delay,Unplanned,Design Flaw,30,0.5,208.8,6.96,38,Packaging Units,Resolved,2.15,Corrective
DT-00741,2023-04-26,2023,April,17,Plant Munich,Line M1,MC-0015,Stamping Press,Morning (06-14),OP-0098,Tech-001,Software/Control Issue,HMI Freeze,Unplanned,Supplier Quality Issue,40,0.67,434.4,10.86,60,Electronic Housings,Resolved,0.77,Corrective
DT-00742,2023-04-27,2023,April,17,Plant Munich,Line M4,MC-0027,Packaging Machine,Morning (06-14),OP-0025,Tech-007,Quality Issue,Out of Spec Product,Unplanned,Human Error,26,0.43,176.02,6.77,41,Plastic Components,Resolved,2.97,Corrective
DT-00743,2023-04-27,2023,April,17,Plant Katowice,Line K2,MC-0034,Industrial Oven,Night (22-06),OP-0003,Tech-011,Electrical Failure,Power Supply Failure,Unplanned,Process Variation,50,0.83,361.5,7.23,103,Electronic Housings,Resolved,1.88,Corrective
DT-00744,2023-04-27,2023,April,17,Plant Rotterdam,Line R1,MC-0001,Industrial Oven,Afternoon (14-22),OP-0117,Tech-003,Electrical Failure,PLC Error,Unplanned,Process Variation,100,1.67,816.0,8.16,217,Metal Fittings,In Progress,,Corrective
DT-00745,2023-04-27,2023,April,17,Plant Lyon,Line L2,MC-0043,Injection Molding Machine,Afternoon (14-22),OP-0070,Tech-004,Mechanical Failure,Motor Failure,Unplanned,Unknown,10,0.17,106.9,10.69,22,Automotive Parts,Resolved,0.76,Predictive
DT-00746,2023-04-27,2023,April,17,Plant Katowice,Line K2,MC-0035,Conveyor System,Morning (06-14),OP-0063,Tech-023,Material Shortage,Supplier Delay,Unplanned,Wear and Tear,104,1.73,481.52,4.63,100,Plastic Components,Resolved,1.9,Predictive
DT-00747,2023-04-27,2023,April,17,Plant Katowice,Line K2,MC-0034,Industrial Oven,Morning (06-14),OP-0028,Tech-018,Software/Control Issue,Network Communication Loss,Unplanned,Human Error,42,0.7,252.0,6.0,71,Electronic Housings,Resolved,4.05,Corrective
DT-00748,2023-04-28,2023,April,17,Plant Rotterdam,Line R2,MC-0006,Assembly Robot,Morning (06-14),OP-0091,Tech-017,Changeover,Tooling Change,Planned,Unknown,58,0.97,856.08,14.76,110,Plastic Components,Pending,,Corrective
DT-00749,2023-04-28,2023,April,17,Plant Katowice,Line K1,MC-0030,Stamping Press,Afternoon (14-22),OP-0094,Tech-013,Quality Issue,Calibration Drift,Unplanned,Inadequate Training,47,0.78,483.16,10.28,110,Electronic Housings,Resolved,2.0,Corrective
DT-00750,2023-04-28,2023,April,17,Plant Munich,Line M2,MC-0016,Packaging Machine,Afternoon (14-22),OP-0044,Tech-024,Operator Error,Incorrect Setup,Unplanned,Design Flaw,75,1.25,599.25,7.99,129,Electronic Housings,Resolved,2.65,Corrective
DT-00751,2023-04-28,2023,April,17,Plant Katowice,Line K1,MC-0031,Robotic Welder,Morning (06-14),OP-0118,Tech-017,Operator Error,Missed Procedure Step,Unplanned,Wear and Tear,55,0.92,525.8,9.56,82,Electronic Housings,Resolved,0.52,Corrective
